RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Date,ZORI
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-06-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-07-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-08-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-09-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-10-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-11-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-12-2022,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-01-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,28-02-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-03-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-04-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-05-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-06-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-07-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-08-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-09-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-10-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-11-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-12-2023,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-01-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,29-02-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-03-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-04-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,31-05-2024,
3301,4654,Aberdeen,city,NC,NC,"Pinehurst-Southern Pines, NC",Moore County,30-06-2024,
