RegionID,SizeRank,RegionName,RegionType,StateName,Date,DaysToPending
394458,23,"Charlotte, NC",msa,NC,31-05-2021,14
394458,23,"Charlotte, NC",msa,NC,30-06-2021,13
394458,23,"Charlotte, NC",msa,NC,31-07-2021,13
394458,23,"Charlotte, NC",msa,NC,31-08-2021,14
394458,23,"Charlotte, NC",msa,NC,30-09-2021,15
394458,23,"Charlotte, NC",msa,NC,31-10-2021,17
394458,23,"Charlotte, NC",msa,NC,30-11-2021,19
394458,23,"Charlotte, NC",msa,NC,31-12-2021,21
394458,23,"Charlotte, NC",msa,NC,31-01-2022,23
394458,23,"Charlotte, NC",msa,NC,28-02-2022,23
394458,23,"Charlotte, NC",msa,NC,31-03-2022,20
394458,23,"Charlotte, NC",msa,NC,30-04-2022,15
394458,23,"Charlotte, NC",msa,NC,31-05-2022,12
394458,23,"Charlotte, NC",msa,NC,30-06-2022,12
394458,23,"Charlotte, NC",msa,NC,31-07-2022,14
394458,23,"Charlotte, NC",msa,NC,31-08-2022,18
394458,23,"Charlotte, NC",msa,NC,30-09-2022,23
394458,23,"Charlotte, NC",msa,NC,31-10-2022,28
394458,23,"Charlotte, NC",msa,NC,30-11-2022,32
394458,23,"Charlotte, NC",msa,NC,31-12-2022,38
394458,23,"Charlotte, NC",msa,NC,31-01-2023,44
394458,23,"Charlotte, NC",msa,NC,28-02-2023,49
394458,23,"Charlotte, NC",msa,NC,31-03-2023,47
394458,23,"Charlotte, NC",msa,NC,30-04-2023,39
394458,23,"Charlotte, NC",msa,NC,31-05-2023,31
394458,23,"Charlotte, NC",msa,NC,30-06-2023,25
394458,23,"Charlotte, NC",msa,NC,31-07-2023,23
394458,23,"Charlotte, NC",msa,NC,31-08-2023,23
394458,23,"Charlotte, NC",msa,NC,30-09-2023,25
394458,23,"Charlotte, NC",msa,NC,31-10-2023,28
394458,23,"Charlotte, NC",msa,NC,30-11-2023,31
394458,23,"Charlotte, NC",msa,NC,31-12-2023,35
394458,23,"Charlotte, NC",msa,NC,31-01-2024,38
394458,23,"Charlotte, NC",msa,NC,29-02-2024,41
394458,23,"Charlotte, NC",msa,NC,31-03-2024,38
394458,23,"Charlotte, NC",msa,NC,30-04-2024,34
394458,23,"Charlotte, NC",msa,NC,31-05-2024,30
394458,23,"Charlotte, NC",msa,NC,30-06-2024,30
394458,23,"Charlotte, NC",msa,NC,31-07-2024,32
394458,23,"Charlotte, NC",msa,NC,31-08-2024,37
394458,23,"Charlotte, NC",msa,NC,30-09-2024,41
394458,23,"Charlotte, NC",msa,NC,31-10-2024,45
394458,23,"Charlotte, NC",msa,NC,30-11-2024,48
394458,23,"Charlotte, NC",msa,NC,31-12-2024,54
394458,23,"Charlotte, NC",msa,NC,31-01-2025,63
394458,23,"Charlotte, NC",msa,NC,28-02-2025,63
394458,23,"Charlotte, NC",msa,NC,31-03-2025,58
394458,23,"Charlotte, NC",msa,NC,30-04-2025,47
394458,23,"Charlotte, NC",msa,NC,31-05-2025,43
394458,23,"Charlotte, NC",msa,NC,30-06-2025,42
753877,554,"Cullowhee, NC",msa,NC,31-03-2018,
753877,554,"Cullowhee, NC",msa,NC,30-04-2018,
753877,554,"Cullowhee, NC",msa,NC,31-05-2018,
753877,554,"Cullowhee, NC",msa,NC,30-06-2018,
753877,554,"Cullowhee, NC",msa,NC,31-07-2018,
753877,554,"Cullowhee, NC",msa,NC,31-08-2018,
753877,554,"Cullowhee, NC",msa,NC,30-09-2018,
753877,554,"Cullowhee, NC",msa,NC,31-10-2018,
753877,554,"Cullowhee, NC",msa,NC,30-11-2018,
753877,554,"Cullowhee, NC",msa,NC,31-12-2018,
753877,554,"Cullowhee, NC",msa,NC,31-01-2019,
753877,554,"Cullowhee, NC",msa,NC,28-02-2019,
753877,554,"Cullowhee, NC",msa,NC,31-03-2019,
753877,554,"Cullowhee, NC",msa,NC,30-04-2019,
753877,554,"Cullowhee, NC",msa,NC,31-05-2019,
753877,554,"Cullowhee, NC",msa,NC,30-06-2019,
753877,554,"Cullowhee, NC",msa,NC,31-07-2019,
753877,554,"Cullowhee, NC",msa,NC,31-08-2019,
753877,554,"Cullowhee, NC",msa,NC,30-09-2019,
753877,554,"Cullowhee, NC",msa,NC,31-10-2019,
753877,554,"Cullowhee, NC",msa,NC,30-11-2019,
753877,554,"Cullowhee, NC",msa,NC,31-12-2019,
753877,554,"Cullowhee, NC",msa,NC,31-01-2020,
753877,554,"Cullowhee, NC",msa,NC,29-02-2020,
753877,554,"Cullowhee, NC",msa,NC,31-03-2020,
753877,554,"Cullowhee, NC",msa,NC,30-04-2020,
753877,554,"Cullowhee, NC",msa,NC,31-05-2020,
753877,554,"Cullowhee, NC",msa,NC,30-06-2020,
753877,554,"Cullowhee, NC",msa,NC,31-07-2020,
753877,554,"Cullowhee, NC",msa,NC,31-08-2020,
753877,554,"Cullowhee, NC",msa,NC,30-09-2020,
753877,554,"Cullowhee, NC",msa,NC,31-10-2020,
753877,554,"Cullowhee, NC",msa,NC,30-11-2020,
753877,554,"Cullowhee, NC",msa,NC,31-12-2020,
753877,554,"Cullowhee, NC",msa,NC,31-01-2021,
753877,554,"Cullowhee, NC",msa,NC,28-02-2021,
753877,554,"Cullowhee, NC",msa,NC,31-03-2021,
753877,554,"Cullowhee, NC",msa,NC,30-04-2021,
753877,554,"Cullowhee, NC",msa,NC,31-05-2021,
753877,554,"Cullowhee, NC",msa,NC,30-06-2021,
753877,554,"Cullowhee, NC",msa,NC,31-07-2021,
753877,554,"Cullowhee, NC",msa,NC,31-08-2021,
753877,554,"Cullowhee, NC",msa,NC,30-09-2021,
753877,554,"Cullowhee, NC",msa,NC,31-10-2021,
753877,554,"Cullowhee, NC",msa,NC,30-11-2021,
753877,554,"Cullowhee, NC",msa,NC,31-12-2021,
753877,554,"Cullowhee, NC",msa,NC,31-01-2022,
753877,554,"Cullowhee, NC",msa,NC,28-02-2022,
753877,554,"Cullowhee, NC",msa,NC,31-03-2022,
753877,554,"Cullowhee, NC",msa,NC,30-04-2022,
753877,554,"Cullowhee, NC",msa,NC,31-05-2022,
753877,554,"Cullowhee, NC",msa,NC,30-06-2022,
753877,554,"Cullowhee, NC",msa,NC,31-07-2022,
753877,554,"Cullowhee, NC",msa,NC,31-08-2022,
753877,554,"Cullowhee, NC",msa,NC,30-09-2022,
753877,554,"Cullowhee, NC",msa,NC,31-10-2022,
753877,554,"Cullowhee, NC",msa,NC,30-11-2022,
753877,554,"Cullowhee, NC",msa,NC,31-12-2022,
753877,554,"Cullowhee, NC",msa,NC,31-01-2023,
753877,554,"Cullowhee, NC",msa,NC,28-02-2023,
753877,554,"Cullowhee, NC",msa,NC,31-03-2023,
753877,554,"Cullowhee, NC",msa,NC,30-04-2023,
753877,554,"Cullowhee, NC",msa,NC,31-05-2023,
753877,554,"Cullowhee, NC",msa,NC,30-06-2023,
753877,554,"Cullowhee, NC",msa,NC,31-07-2023,
753877,554,"Cullowhee, NC",msa,NC,31-08-2023,
753877,554,"Cullowhee, NC",msa,NC,30-09-2023,
753877,554,"Cullowhee, NC",msa,NC,31-10-2023,
753877,554,"Cullowhee, NC",msa,NC,30-11-2023,
753877,554,"Cullowhee, NC",msa,NC,31-12-2023,
753877,554,"Cullowhee, NC",msa,NC,31-01-2024,
753877,554,"Cullowhee, NC",msa,NC,29-02-2024,
753877,554,"Cullowhee, NC",msa,NC,31-03-2024,
753877,554,"Cullowhee, NC",msa,NC,30-04-2024,
753877,554,"Cullowhee, NC",msa,NC,31-05-2024,
753877,554,"Cullowhee, NC",msa,NC,30-06-2024,
753877,554,"Cullowhee, NC",msa,NC,31-07-2024,
753877,554,"Cullowhee, NC",msa,NC,31-08-2024,
753877,554,"Cullowhee, NC",msa,NC,30-09-2024,
753877,554,"Cullowhee, NC",msa,NC,31-10-2024,
753877,554,"Cullowhee, NC",msa,NC,30-11-2024,
753877,554,"Cullowhee, NC",msa,NC,31-12-2024,
753877,554,"Cullowhee, NC",msa,NC,31-01-2025,
753877,554,"Cullowhee, NC",msa,NC,28-02-2025,113
753877,554,"Cullowhee, NC",msa,NC,31-03-2025,101
753877,554,"Cullowhee, NC",msa,NC,30-04-2025,105
753877,554,"Cullowhee, NC",msa,NC,31-05-2025,69
753877,554,"Cullowhee, NC",msa,NC,30-06-2025,66
394549,95,"Durham, NC",msa,NC,31-03-2018,34
394549,95,"Durham, NC",msa,NC,30-04-2018,28
394549,95,"Durham, NC",msa,NC,31-05-2018,27
394549,95,"Durham, NC",msa,NC,30-06-2018,27
394549,95,"Durham, NC",msa,NC,31-07-2018,28
394549,95,"Durham, NC",msa,NC,31-08-2018,30
394549,95,"Durham, NC",msa,NC,30-09-2018,33
394549,95,"Durham, NC",msa,NC,31-10-2018,36
394549,95,"Durham, NC",msa,NC,30-11-2018,39
394549,95,"Durham, NC",msa,NC,31-12-2018,45
394549,95,"Durham, NC",msa,NC,31-01-2019,51
394549,95,"Durham, NC",msa,NC,28-02-2019,53
394549,95,"Durham, NC",msa,NC,31-03-2019,46
394549,95,"Durham, NC",msa,NC,30-04-2019,36
394549,95,"Durham, NC",msa,NC,31-05-2019,30
394549,95,"Durham, NC",msa,NC,30-06-2019,30
394549,95,"Durham, NC",msa,NC,31-07-2019,33
394549,95,"Durham, NC",msa,NC,31-08-2019,35
394549,95,"Durham, NC",msa,NC,30-09-2019,37
394549,95,"Durham, NC",msa,NC,31-10-2019,38
394549,95,"Durham, NC",msa,NC,30-11-2019,42
394549,95,"Durham, NC",msa,NC,31-12-2019,46
394549,95,"Durham, NC",msa,NC,31-01-2020,51
394549,95,"Durham, NC",msa,NC,29-02-2020,50
394549,95,"Durham, NC",msa,NC,31-03-2020,45
394549,95,"Durham, NC",msa,NC,30-04-2020,38
394549,95,"Durham, NC",msa,NC,31-05-2020,35
394549,95,"Durham, NC",msa,NC,30-06-2020,33
394549,95,"Durham, NC",msa,NC,31-07-2020,33
394549,95,"Durham, NC",msa,NC,31-08-2020,32
394549,95,"Durham, NC",msa,NC,30-09-2020,30
394549,95,"Durham, NC",msa,NC,31-10-2020,28
394549,95,"Durham, NC",msa,NC,30-11-2020,28
394549,95,"Durham, NC",msa,NC,31-12-2020,32
394549,95,"Durham, NC",msa,NC,31-01-2021,33
394549,95,"Durham, NC",msa,NC,28-02-2021,32
394549,95,"Durham, NC",msa,NC,31-03-2021,27
